2017-02-22 20:10:17.912 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10执行业务操作
2017-02-22 20:10:17.912 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 4e66085f-0c3b-436f-aac5-248310095fa7
2017-02-22 20:11:59.063 [线程5] INFO  [com.etime.arch.redis.lock.Task] - 线程5获得锁
2017-02-22 20:11:59.065 [线程5] INFO  [com.etime.arch.redis.lock.Task] - 线程5执行业务操作
2017-02-22 20:11:59.066 [线程5] INFO  [com.etime.arch.redis.lock.Task] - c589f2ea-acca-4a77-b06f-05478372462c
2017-02-22 20:12:09.094 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 线程6获得锁
2017-02-22 20:12:09.095 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 线程6执行业务操作
2017-02-22 20:12:09.095 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 1b993b71-a70b-4491-8415-a967c2d237a8
2017-02-22 20:12:19.103 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3获得锁
2017-02-22 20:12:19.104 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3执行业务操作
2017-02-22 20:12:19.104 [线程3] INFO  [com.etime.arch.redis.lock.Task] - beccf50a-6723-4382-a6f9-dfb9512acff5
2017-02-22 20:12:29.118 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1获得锁
2017-02-22 20:12:29.118 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1执行业务操作
2017-02-22 20:12:29.118 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 7f68583d-a162-45b8-ae96-40519c75bf28
2017-02-22 20:12:39.121 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2获得锁
2017-02-22 20:12:39.122 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2执行业务操作
2017-02-22 20:12:39.122 [线程2] INFO  [com.etime.arch.redis.lock.Task] - b68e3051-199f-48fd-aced-51f01248331a
2017-02-22 20:14:02.856 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 线程8获得锁
2017-02-22 20:14:02.859 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 线程8执行业务操作
2017-02-22 20:14:02.859 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 00fd719c-bfff-4d84-8ee2-90c48fdcad1e
2017-02-22 20:14:39.842 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3获得锁
2017-02-22 20:14:39.847 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3执行业务操作
